GroupDescription,Label,ThisMonth,SameMonthLastYear,PercentChange,ThisYearYTD,LastYearYTD,PercentChangeYTD,FiscalYearYTD
Arch Rock,Visitors by Auto,"129,830","89,180",45.6,"948,358","797,086",19,"1,144,752"
Arch Rock,Visitors by Bus,"20,214","20,346",-0.6,"134,240","148,320",-9.5,"172,468"
Arch Rock,Total Recreation Visitors,"150,044","109,526",37,"1,082,598","945,406",14.5,"1,317,220"
Arch Rock,Total Non-Rec Visitors,"5,051","4,236",19.2,"36,841","31,881",15.6,"44,506"
Arch Rock,Number of Buses,689,"7,370",-90.7,"4,545","12,075",-62.4,"5,809"
South Entrance,Visitors by Auto,"107,173","140,483",-23.7,"977,511","1,195,427",-18.2,"1,206,684"
South Entrance,Visitors by Bus,"9,609","11,844",-18.9,"53,635","75,327",-28.8,"71,738"
South Entrance,Total Recreation Visitors,"116,782","152,327",-23.3,"1,031,146","1,270,754",-18.9,"1,278,422"
South Entrance,Total Non-Rec Visitors,"6,072","7,963",-23.7,"55,219","67,577",-18.3,"68,198"
South Entrance,Number of Buses,343,470,-27,"2,131","2,899",-26.5,"2,834"
Big Oak Flat,Visitors by Auto,"148,998","171,596",-13.2,"916,808","1,162,417",-21.1,"1,222,106"
Big Oak Flat,Visitors by Bus,"5,945","7,010",-15.2,"36,508","40,532",-9.9,"44,768"
Big Oak Flat,Total Recreation Visitors,"154,943","178,606",-13.2,"953,316","1,202,949",-20.8,"1,266,874"
Big Oak Flat,Total Non-Rec Visitors,"4,446","5,117",-13.1,"27,359","34,654",-21.1,"36,449"
Big Oak Flat,Number of Buses,306,310,-1.3,"1,912","2,024",-5.5,"2,307"
Tioga Pass,Visitors by Auto,"133,040","145,747",-8.7,"438,372","676,742",-35.2,"494,525"
Tioga Pass,Visitors by Bus,"4,691","5,828",-19.5,"13,919","20,186",-31,"15,658"
Tioga Pass,Total Recreation Visitors,"137,731","151,575",-9.1,"452,291","696,928",-35.1,"510,183"
Tioga Pass,Total Non-Rec Visitors,"3,840","4,209",-8.8,"12,650","19,520",-35.2,"14,270"
Tioga Pass,Number of Buses,204,247,-17.4,639,902,-29.2,716
Hetch Hetchy,Visitors by Auto,"6,779","6,393",6,"42,507","49,957",-14.9,"52,036"
Hetch Hetchy,Total Non-Rec Visitors,371,350,6,"2,329","2,737",-14.9,"2,851"
Park Totals,Visitors by Auto,"525,820","553,400",-5,"3,323,557","3,881,628",-14.4,"4,120,103"
Park Totals,Visitors by Bus,"40,459","45,028",-10.1,"238,302","284,365",-16.2,"304,632"
Park Totals,Total Recreation Visitors,"566,279","598,428",-5.4,"3,561,859","4,165,993",-14.5,"4,424,735"
Park Totals,Total Non-Rec Visitors,"19,780","21,874",-9.6,"134,398","156,370",-14.1,"166,275"
Park Totals,Number of Buses,"1,542","8,397",-81.6,"9,227","17,900",-48.5,"11,666"
,,,,,,,,
ReportText,,,,,,,,
