,Visitor Spending,Jobs Supported,Local Jobs,Total Output,
Visitation ,,,,,
2013 ,"273,630,895 ",$14.6 billion ,"237,599 ","197,343 ",$26.5 billion 
2014 ,"292,800,082 ",$15.7 billion ,"276,960 ","235,600 ",$29.7 billion 
2015 ,"307,247,252 ",$16.9 billion ,"295,339 ","252,030 ",$32 billion 
2016 ,"330,971,689 ",$18.4 billion ,"318,000 ","271,544 ",$34.9 billion 
2017 ,"330,882,751 ",$18.2 billion ,"306,000 ","255,900 ",$35.8 billion 
2018 ,"318,211,833 ",$20.2 billion ,"329,000 ","268,195 ",$40.1 billion 
2019 ,"327,516,619 ",$21.0 billion ,"340,500 ","278,173 ",$41.7 billion 
2020 ,"237,064,332 ",$14.5 billion ,"234,000 ","194,400 ",$28.6 billion 
2021 ,"297,115,406 ",$20.5 billion ,"322,600 ","268,900 ",$42.5 billion 
2022 ,"311,985,998 ",$23.9 billion ,"378,400 ","314,600 ",$50.3 billion 
